file_name,dataset_split,disease_class,x_center,y_center,width,height
PotatoLateBlight-2033-_JPG.rf.f7709eecc80c7980438954506af2a980.txt,train,Potato_Late_Blight,0.483359375,0.4896875,0.8866015625,0.9235546875
PotatoHealthy-2196-_JPG.rf.10044ca887c6fa4ea2ff407fa4119bc0.txt,train,Potato_Healthy_Plant,0.463828125,0.5050390625,0.886640625,0.965390625
PotatoLateBlight-2785-_JPG.rf.5ae898953f9418d2efda5d5f8ad2095d.txt,train,Potato_Late_Blight,0.4624609375,0.5078125,0.7833984375,0.948671875
PotatoEarlyBlight-2089-_JPG.rf.3591154076686bb5b33473738facba52.txt,train,Potato_Early_Blight,0.505703125,0.4855078125,0.9368359375,0.859375
PotatoEarlyBlight-1568-_JPG.rf.55d4c661a754a440f8a4df7a9750aaed.txt,train,Potato_Early_Blight,0.51546875,0.50640625,0.883828125,0.929140625
PotatoLateBlight-2757-_JPG.rf.c04f156a6262037cb4fc37fa10eb72db.txt,train,Potato_Late_Blight,0.467109375,0.5435546875,0.7358203125,0.7982421875
PotatoEarlyBlight-1722-_JPG.rf.3e84e2272052101ce04ba733790210c4.txt,train,Potato_Early_Blight,0.501484375,0.5119921875,0.9340234375,0.95703125
PotatoEarlyBlight-1044-_jpg.rf.f443fa6d85b0d05067c1e09effeabc38.txt,train,Potato_Early_Blight,0.12675422138836773,0.1705375,0.09613508442776736,0.0625
PotatoEarlyBlight-1044-_jpg.rf.f443fa6d85b0d05067c1e09effeabc38.txt,train,Potato_Early_Blight,0.2848405253283302,0.484825,0.3693996247654784,0.2196375
PotatoEarlyBlight-1044-_jpg.rf.f443fa6d85b0d05067c1e09effeabc38.txt,train,Potato_Early_Blight,0.7122701688555347,0.7607125,0.14146341463414636,0.15
PotatoEarlyBlight-1044-_jpg.rf.f443fa6d85b0d05067c1e09effeabc38.txt,train,Potato_Early_Blight,0.7672045028142589,0.5696375,0.25131332082551594,0.121425
PotatoEarlyBlight-1044-_jpg.rf.f443fa6d85b0d05067c1e09effeabc38.txt,train,Potato_Early_Blight,0.3947091932457786,0.91875,0.2246529080675422,0.158925
PotatoEarlyBlight-1044-_jpg.rf.f443fa6d85b0d05067c1e09effeabc38.txt,train,Potato_Early_Blight,0.4322326454033771,0.225,0.20857410881801125,0.1
PotatoHealthy-2029-_JPG.rf.a3b56db25cb9ec00d0e466488c569a95.txt,train,Potato_Healthy_Plant,0.524375,0.49125,0.858203125,0.881796875
PotatoHealthy-723-_JPG.rf.cefc6a836defd5923e6a18f006548b7d.txt,train,Potato_Healthy_Plant,0.51265625,0.4910546875,0.861484375,0.926328125
PotatoEarlyBlight-715-_JPG.rf.d6c2ae6f84b08d5f325b4410dd8057a3.txt,train,Potato_Early_Blight,0.5084765625,0.499453125,0.90890625,0.926328125
